Nome,Partido,Posição
ZENAIDE MAIA,PSD,Centro
IVETE DA SILVEIRA,MDB,Centro
BETO MARTINS,PL,Direita
CARLOS VIANA,PODEMOS,Centro
ANGELO CORONEL,PSD,Centro
DAVI ALCOLUMBRE,UNIÃO,Direita
FERNANDO FARIAS,MDB,Centro
SORAYA THRONICKE,PODEMOS,Centro
ROGERIO MARINHO,PL,Direita
WILDER MORAIS,PL,Direita
CIRO NOGUEIRA,PP,Direita
EFRAIM FILHO,UNIÃO,Direita
FLÁVIO BOLSONARO,PL,Direita
ROGÉRIO CARVALHO,PT,Esquerda
SÉRGIO PETECÃO,PSD,Centro
RODRIGO CUNHA,PODEMOS,Centro
CLEITINHO,REPUBLICANOS,Direita
LEILA BARROS,PDT,Esquerda
JAYME CAMPOS,UNIÃO,Direita
JUSSARA LIMA,PSD,Centro
CHICO RODRIGUES,PSB,Esquerda
DAMARES ALVES,REPUBLICANOS,Direita
DANIELLA RIBEIRO,PSD,Centro
FABIANO CONTARATO,PT,Esquerda
MARA GABRILLI,PSD,Centro
ROMÁRIO,PL,Direita
WELLINGTON FAGUNDES,PL,Direita
MARCELO CASTRO,MDB,Centro
CARLOS FÁVARO,PSD,Centro
ELIZIANE GAMA,PSD,Centro
HUMBERTO COSTA,PT,Esquerda
JORGE SEIF,PL,Direita
TERESA LEITÃO,PT,Esquerda
ALAN RICK,UNIÃO,Direita
AUGUSTA BRITO,PT,Esquerda
EDUARDO GOMES,PL,Direita
RENAN CALHEIROS,MDB,Centro
MAGNO MALTA,PL,Direita
ALESSANDRO VIEIRA,MDB,Centro
EDUARDO GIRÃO,NOVO,Direita
WEVERTON,PDT,Esquerda
MARCIO BITTAR,UNIÃO,Direita
DR. HIRAN,PP,Direita
IZALCI LUCAS,PL,Direita
VENEZIANO VITAL DO RÊGO,MDB,Centro
JORGE KAJURU,PSB,Esquerda
LAÉRCIO OLIVEIRA,PP,Direita
ESPERIDIÃO AMIN,PP,Direita
RANDOLFE RODRIGUES,S/Partido,Indefinido
ASTRONAUTA MARCOS PONTES,PL,Direita
BETO FARO,PT,Esquerda
FERNANDO DUEIRE,MDB,Centro
SERGIO MORO,UNIÃO,Direita
PROFESSORA DORINHA SEABRA,UNIÃO,Direita
OMAR AZIZ,PSD,Centro
TEREZA CRISTINA,PP,Direita
MARCOS DO VAL,PODEMOS,Centro
LUIS CARLOS HEINZE,PP,Direita
MARGARETH BUZETTI,PSD,Centro
ORIOVISTO GUIMARÃES,PODEMOS,Centro
MECIAS DE JESUS,REPUBLICANOS,Direita
IRAJÁ,PSD,Centro
VANDERLAN CARDOSO,PSD,Centro
PAULO PAIM,PT,Esquerda
JAIME BAGATTOLI,PL,Direita
ZEQUINHA MARINHO,PODEMOS,Centro
JAQUES WAGNER,PT,Esquerda
ANA PAULA LOBATO,PSB,Esquerda
FLÁVIO ARNS,PSB,Esquerda
MARCOS ROGÉRIO,PL,Direita
HAMILTON MOURÃO,REPUBLICANOS,Direita
CASTELLAR NETO,PP,Direita
EDUARDO BRAGA,MDB,Centro
GIORDANO,MDB,Centro
OTTO ALENCAR,PSD,Centro
RODRIGO PACHECO,PSD,Centro
CARLOS PORTINHO,PL,Direita
STYVERSON VALENTIM,PODEMOS,Centro
CID GOMES,PSB,Esquerda
JADER BARBALHO,MDB,Centro
LUCAS BARRETO,PSD,Centro
PLÍNIO VALÉRIO,PSDB,Centro
CONFÚCIO MOURA,MDB,Centro
NELSINHO TRAD,PSD,Centro
